date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:39:00	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Mar%202023%2006:39:53%20GMT	http://info.cern.ch/robots.txt		(from )
06:39:01	646/646	---M--	200	added ('OK')	text/html	etag:%22286-4f1aadb3105c0%22	http://info.cern.ch/	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/index.html	(from )
06:39:01	2217/2217	---M--	200	added ('OK')	text/html	etag:%228a9-291e721905000%22	http://info.cern.ch/hypertext/WWW/TheProject.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/TheProject.html	(from http://info.cern.ch/)
06:39:01	1149/1149	---M--	200	added ('OK')	text/html	etag:%2247d-2824824ad1380%22	http://info.cern.ch/hypertext/WWW/WhatIs.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/WhatIs.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:01	4651/4651	---M--	200	added ('OK')	text/html	etag:%22122b-284432a6ec8c0%22	http://info.cern.ch/hypertext/WWW/Summary.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/Summary.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:02	248/248	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Mar%202023%2006:39:54%20GMT	http://info.cern.ch/hypertext/WWW/Administration/Mailing/Overview.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/Administration/Mailing/Overview.3.delayed	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:02	2774/2774	---M--	200	added ('OK')	text/html	etag:%22ad6-2915d396f41c0%22	http://info.cern.ch/hypertext/WWW/Policy.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/Policy.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:02	3411/3411	---M--	200	added ('OK')	text/html	etag:%22d53-2916fb5634300%22	http://info.cern.ch/hypertext/WWW/News/9211.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/News/9211.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:02	1060/1060	---M--	200	added ('OK')	text/html	etag:%22424-291715c485ec0%22	http://info.cern.ch/hypertext/WWW/FAQ/List.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/FAQ/List.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:03	664/664	---M--	200	added ('OK')	text/html	etag:%22298-28a18ef5b2f40%22	http://info.cern.ch/hypertext/DataSources/Top.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/DataSources/Top.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:03	4519/4519	---M--	200	added ('OK')	text/html	etag:%2211a7-29045ccd3d840%22	http://info.cern.ch/hypertext/DataSources/bySubject/Overview.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/DataSources/bySubject/Overview.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:03	6423/6423	---M--	200	added ('OK')	text/html	etag:%221917-359f94c5ca240%22	http://info.cern.ch/hypertext/DataSources/WWW/Servers.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/DataSources/WWW/Servers.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:03	844/844	---M--	200	added ('OK')	text/html	etag:%2234c-28a2ab76c2a00%22	http://info.cern.ch/hypertext/WWW/Help.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/Help.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:04	2594/2594	---M--	200	added ('OK')	text/html	etag:%22a22-2915d3c2d2940%22	http://info.cern.ch/hypertext/WWW/Status.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/Status.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:04	1060/1060	---M--	200	added ('OK')	text/html	etag:%22424-36f7f64fd8d00%22	http://info.cern.ch/hypertext/WWW/LineMode/Browser.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/LineMode/Browser.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:04	2340/2340	---M--	200	added ('OK')	text/html	etag:%22924-261861435bf80%22	http://info.cern.ch/hypertext/WWW/NeXT/WorldWideWeb.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/NeXT/WorldWideWeb.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:04	2964/2964	---M--	200	added ('OK')	text/html	etag:%22b94-290cf1d8f9380%22	http://info.cern.ch/hypertext/WWW/Daemon/Overview.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/Daemon/Overview.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:05	1600/1600	---M--	200	added ('OK')	text/html	etag:%22640-28e8569b9cc40%22	http://info.cern.ch/hypertext/WWW/Tools/Overview.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/Tools/Overview.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:05	853/853	---M--	200	added ('OK')	text/html	etag:%22355-28e8c44aa5300%22	http://info.cern.ch/hypertext/WWW/MailRobot/Overview.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/MailRobot/Overview.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:05	1669/1669	---M--	200	added ('OK')	text/html	etag:%22685-290548821f240%22	http://info.cern.ch/hypertext/WWW/Technical.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/Technical.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:06	4103/4103	---M--	200	added ('OK')	text/html	etag:%221007-2901d177de800%22	http://info.cern.ch/hypertext/WWW/Bibliography.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/Bibliography.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
06:39:06	7388/7388	---M--	200	added ('OK')	text/html	etag:%221cdc-29047fd3afac0%22	http://info.cern.ch/hypertext/WWW/People.html	C:/Users/sanam/OneDrive/Desktop/geode/www-project/WWW%20Project/info.cern.ch/hypertext/WWW/People.html	(from http://info.cern.ch/hypertext/WWW/TheProject.html)
